"participant"	"groups"	"attitude"	"drink"	"imagery"
"P1"	"beerneut"	5	"Beer"	"Neutral"
"P2"	"beerneut"	8	"Beer"	"Neutral"
"P3"	"beerneut"	12	"Beer"	"Neutral"
"P4"	"beerneut"	19	"Beer"	"Neutral"
"P5"	"beerneut"	8	"Beer"	"Neutral"
"P6"	"beerneut"	15	"Beer"	"Neutral"
"P7"	"beerneut"	21	"Beer"	"Neutral"
"P8"	"beerneut"	28	"Beer"	"Neutral"
"P9"	"beerneut"	26	"Beer"	"Neutral"
"P10"	"beerneut"	27	"Beer"	"Neutral"
"P11"	"beerneut"	-10	"Beer"	"Neutral"
"P12"	"beerneut"	6	"Beer"	"Neutral"
"P13"	"beerneut"	4	"Beer"	"Neutral"
"P14"	"beerneut"	3	"Beer"	"Neutral"
"P15"	"beerneut"	0	"Beer"	"Neutral"
"P16"	"beerneut"	4	"Beer"	"Neutral"
"P17"	"beerneut"	9	"Beer"	"Neutral"
"P18"	"beerneut"	-5	"Beer"	"Neutral"
"P19"	"beerneut"	7	"Beer"	"Neutral"
"P20"	"beerneut"	13	"Beer"	"Neutral"
"P1"	"winepos"	38	"Wine"	"Positive"
"P2"	"winepos"	20	"Wine"	"Positive"
"P3"	"winepos"	20	"Wine"	"Positive"
"P4"	"winepos"	28	"Wine"	"Positive"
"P5"	"winepos"	11	"Wine"	"Positive"
"P6"	"winepos"	17	"Wine"	"Positive"
"P7"	"winepos"	15	"Wine"	"Positive"
"P8"	"winepos"	27	"Wine"	"Positive"
"P9"	"winepos"	24	"Wine"	"Positive"
"P10"	"winepos"	23	"Wine"	"Positive"
"P11"	"winepos"	28	"Wine"	"Positive"
"P12"	"winepos"	26	"Wine"	"Positive"
"P13"	"winepos"	34	"Wine"	"Positive"
"P14"	"winepos"	32	"Wine"	"Positive"
"P15"	"winepos"	24	"Wine"	"Positive"
"P16"	"winepos"	29	"Wine"	"Positive"
"P17"	"winepos"	30	"Wine"	"Positive"
"P18"	"winepos"	24	"Wine"	"Positive"
"P19"	"winepos"	34	"Wine"	"Positive"
"P20"	"winepos"	23	"Wine"	"Positive"
"P1"	"wineneg"	-5	"Wine"	"Negative"
"P2"	"wineneg"	-12	"Wine"	"Negative"
"P3"	"wineneg"	-15	"Wine"	"Negative"
"P4"	"wineneg"	-4	"Wine"	"Negative"
"P5"	"wineneg"	-2	"Wine"	"Negative"
"P6"	"wineneg"	-6	"Wine"	"Negative"
"P7"	"wineneg"	-2	"Wine"	"Negative"
"P8"	"wineneg"	-7	"Wine"	"Negative"
"P9"	"wineneg"	-10	"Wine"	"Negative"
"P10"	"wineneg"	-15	"Wine"	"Negative"
"P11"	"wineneg"	-13	"Wine"	"Negative"
"P12"	"wineneg"	-16	"Wine"	"Negative"
"P13"	"wineneg"	-23	"Wine"	"Negative"
"P14"	"wineneg"	-22	"Wine"	"Negative"
"P15"	"wineneg"	-9	"Wine"	"Negative"
"P16"	"wineneg"	-18	"Wine"	"Negative"
"P17"	"wineneg"	-17	"Wine"	"Negative"
"P18"	"wineneg"	-15	"Wine"	"Negative"
"P19"	"wineneg"	-14	"Wine"	"Negative"
"P20"	"wineneg"	-15	"Wine"	"Negative"
"P1"	"wineneut"	4	"Wine"	"Neutral"
"P2"	"wineneut"	4	"Wine"	"Neutral"
"P3"	"wineneut"	6	"Wine"	"Neutral"
"P4"	"wineneut"	0	"Wine"	"Neutral"
"P5"	"wineneut"	6	"Wine"	"Neutral"
"P6"	"wineneut"	6	"Wine"	"Neutral"
"P7"	"wineneut"	16	"Wine"	"Neutral"
"P8"	"wineneut"	7	"Wine"	"Neutral"
"P9"	"wineneut"	12	"Wine"	"Neutral"
"P10"	"wineneut"	14	"Wine"	"Neutral"
"P11"	"wineneut"	13	"Wine"	"Neutral"
"P12"	"wineneut"	19	"Wine"	"Neutral"
"P13"	"wineneut"	14	"Wine"	"Neutral"
"P14"	"wineneut"	21	"Wine"	"Neutral"
"P15"	"wineneut"	19	"Wine"	"Neutral"
"P16"	"wineneut"	7	"Wine"	"Neutral"
"P17"	"wineneut"	12	"Wine"	"Neutral"
"P18"	"wineneut"	18	"Wine"	"Neutral"
"P19"	"wineneut"	20	"Wine"	"Neutral"
"P20"	"wineneut"	15	"Wine"	"Neutral"
"P1"	"waterpos"	10	"Water"	"Positive"
"P2"	"waterpos"	9	"Water"	"Positive"
"P3"	"waterpos"	6	"Water"	"Positive"
"P4"	"waterpos"	20	"Water"	"Positive"
"P5"	"waterpos"	27	"Water"	"Positive"
"P6"	"waterpos"	9	"Water"	"Positive"
"P7"	"waterpos"	19	"Water"	"Positive"
"P8"	"waterpos"	12	"Water"	"Positive"
"P9"	"waterpos"	12	"Water"	"Positive"
"P10"	"waterpos"	21	"Water"	"Positive"
"P11"	"waterpos"	33	"Water"	"Positive"
"P12"	"waterpos"	23	"Water"	"Positive"
"P13"	"waterpos"	21	"Water"	"Positive"
"P14"	"waterpos"	17	"Water"	"Positive"
"P15"	"waterpos"	15	"Water"	"Positive"
"P16"	"waterpos"	13	"Water"	"Positive"
"P17"	"waterpos"	16	"Water"	"Positive"
"P18"	"waterpos"	17	"Water"	"Positive"
"P19"	"waterpos"	19	"Water"	"Positive"
"P20"	"waterpos"	29	"Water"	"Positive"
"P1"	"waterneg"	-14	"Water"	"Negative"
"P2"	"waterneg"	-10	"Water"	"Negative"
"P3"	"waterneg"	-16	"Water"	"Negative"
"P4"	"waterneg"	-10	"Water"	"Negative"
"P5"	"waterneg"	5	"Water"	"Negative"
"P6"	"waterneg"	-6	"Water"	"Negative"
"P7"	"waterneg"	-20	"Water"	"Negative"
"P8"	"waterneg"	-12	"Water"	"Negative"
"P9"	"waterneg"	-9	"Water"	"Negative"
"P10"	"waterneg"	-6	"Water"	"Negative"
"P11"	"waterneg"	-2	"Water"	"Negative"
"P12"	"waterneg"	-17	"Water"	"Negative"
"P13"	"waterneg"	-19	"Water"	"Negative"
"P14"	"waterneg"	-11	"Water"	"Negative"
"P15"	"waterneg"	-10	"Water"	"Negative"
"P16"	"waterneg"	-17	"Water"	"Negative"
"P17"	"waterneg"	-4	"Water"	"Negative"
"P18"	"waterneg"	-4	"Water"	"Negative"
"P19"	"waterneg"	-1	"Water"	"Negative"
"P20"	"waterneg"	-1	"Water"	"Negative"
"P1"	"waterneu"	-2	"Water"	"Neutral"
"P2"	"waterneu"	-13	"Water"	"Neutral"
"P3"	"waterneu"	1	"Water"	"Neutral"
"P4"	"waterneu"	2	"Water"	"Neutral"
"P5"	"waterneu"	-5	"Water"	"Neutral"
"P6"	"waterneu"	-13	"Water"	"Neutral"
"P7"	"waterneu"	3	"Water"	"Neutral"
"P8"	"waterneu"	2	"Water"	"Neutral"
"P9"	"waterneu"	4	"Water"	"Neutral"
"P10"	"waterneu"	0	"Water"	"Neutral"
"P11"	"waterneu"	9	"Water"	"Neutral"
"P12"	"waterneu"	5	"Water"	"Neutral"
"P13"	"waterneu"	0	"Water"	"Neutral"
"P14"	"waterneu"	4	"Water"	"Neutral"
"P15"	"waterneu"	2	"Water"	"Neutral"
"P16"	"waterneu"	8	"Water"	"Neutral"
"P17"	"waterneu"	10	"Water"	"Neutral"
"P18"	"waterneu"	8	"Water"	"Neutral"
"P19"	"waterneu"	12	"Water"	"Neutral"
"P20"	"waterneu"	10	"Water"	"Neutral"
